date,SP500_Close,headline,source
2015-01-05,2020.5799560546875,Manufacturing PMI contracts for third consecutive month,Wall Street Journal
2015-01-06,2002.6099853515625,Oil prices surge as Middle East tensions escalate,AP Finance
2015-01-08,2062.139892578125,Unemployment rate falls to multi-decade low,AP Finance
2015-01-14,2011.27001953125,IMF warns of global recession risk following energy crisis,Forbes
2015-01-15,1992.6700439453125,Unemployment rate falls to multi-decade low,Bloomberg
2015-01-16,2019.4200439453125,Emerging market currencies under pressure from strong dollar,Wall Street Journal
2015-01-22,2063.14990234375,Nasdaq enters correction territory amid rate hike fears,Financial Times
2015-01-26,2057.090087890625,"Bitcoin falls below $20,000 as crypto winter deepens",Bloomberg
2015-01-27,2029.550048828125,Renewable energy stocks surge on new climate legislation,Reuters
2015-01-29,2021.25,Renewable energy stocks surge on new climate legislation,MarketWatch
2015-02-02,2020.8499755859375,Bank stocks surge after stress test results released,Bloomberg
2015-02-03,2050.030029296875,Banking sector faces headwinds from rising credit defaults,Financial Times
2015-02-05,2062.52001953125,"Wage growth accelerates, fueling inflation concerns",CNBC
2015-02-09,2046.739990234375,Tesla shares fall after disappointing delivery numbers,Forbes
2015-02-10,2068.590087890625,Amazon announces major layoffs amid slowing growth,MarketWatch
2015-02-17,2100.340087890625,Pharmaceutical company announces breakthrough cancer treatment,Financial Times
2015-02-18,2099.679931640625,"Retail inventory levels rise, suggesting demand slowdown",CNBC
2015-02-24,2115.47998046875,Oil majors post record profits as energy prices soar,Forbes
2015-03-04,2098.530029296875,Manufacturing PMI contracts for third consecutive month,Forbes
2015-03-06,2071.260009765625,Retail sales data signals consumer slowdown,The Economist
2015-03-09,2079.429931640625,Retail sales data signals consumer slowdown,Bloomberg
2015-03-11,2040.239990234375,Tech stocks rally on strong earnings from major firms,CNBC
2015-03-13,2053.39990234375,"Retail inventory levels rise, suggesting demand slowdown",Reuters
2015-03-16,2081.18994140625,US inflation cools to lowest level in two years,Wall Street Journal
2015-03-18,2099.5,IMF warns of global recession risk following energy crisis,Wall Street Journal
2015-03-19,2089.27001953125,"Bitcoin falls below $20,000 as crypto winter deepens",Wall Street Journal
2015-03-20,2108.10009765625,Dollar strengthens against euro on hawkish Fed comments,The Economist
2015-03-23,2104.419921875,"Central bank holds rates steady, signals pause in tightening",AP Finance
2015-03-24,2091.5,Dollar strengthens against euro on hawkish Fed comments,Wall Street Journal
2015-04-06,2080.6201171875,Retail sales data signals consumer slowdown,MarketWatch
2015-04-07,2076.330078125,Wall Street closes higher after positive jobs report,Financial Times
2015-04-08,2081.89990234375,Nasdaq enters correction territory amid rate hike fears,MarketWatch
2015-04-09,2091.179931640625,Amazon announces major layoffs amid slowing growth,Reuters
2015-04-10,2102.06005859375,Federal Reserve raises interest rates amid inflation concerns,Forbes
2015-04-13,2092.429931640625,Oil majors post record profits as energy prices soar,The Economist
2015-04-15,2106.6298828125,Apple reports record quarterly revenue despite supply chain issues,Wall Street Journal
2015-04-17,2081.179931640625,Retail sales data signals consumer slowdown,AP Finance
2015-04-28,2114.760009765625,"OPEC cuts oil production, sending crude prices higher",Reuters
2015-04-29,2106.85009765625,Semiconductor shortage eases as chip production ramps up,The Economist
2015-05-01,2108.2900390625,Gold hits all-time high as investors seek safe haven assets,Business Insider
2015-05-12,2099.1201171875,"Bond yields hit 15-year high, pressuring equity valuations",Forbes
2015-05-15,2122.72998046875,S&P 500 drops 3% as inflation data disappoints investors,Financial Times
2015-05-20,2125.85009765625,Renewable energy stocks surge on new climate legislation,The Economist
2015-05-22,2126.06005859375,Federal Reserve raises interest rates amid inflation concerns,MarketWatch
2015-05-26,2104.199951171875,"Bitcoin falls below $20,000 as crypto winter deepens",Business Insider
2015-05-27,2123.47998046875,US imposes new sanctions on Russia over Ukraine conflict,Business Insider
2015-05-28,2120.7900390625,Manufacturing PMI contracts for third consecutive month,The Economist
2015-05-29,2107.389892578125,GDP growth beats expectations in strong Q2 report,Wall Street Journal
2015-06-03,2114.070068359375,"OPEC cuts oil production, sending crude prices higher",CNBC
2015-06-05,2092.830078125,IMF warns of global recession risk following energy crisis,Business Insider
2015-06-09,2080.14990234375,"Central bank holds rates steady, signals pause in tightening",MarketWatch
2015-06-10,2105.199951171875,Housing market shows signs of cooling after rate hikes,Bloomberg
2015-06-11,2108.860107421875,Germany enters recession as energy costs weigh on industry,Wall Street Journal
2015-06-16,2096.2900390625,IMF warns of global recession risk following energy crisis,Bloomberg
2015-06-17,2100.43994140625,Federal Reserve raises interest rates amid inflation concerns,Reuters
2015-06-18,2121.239990234375,Housing market shows signs of cooling after rate hikes,Reuters
2015-06-19,2109.989990234375,Tech stocks rally on strong earnings from major firms,CNBC
2015-06-24,2108.580078125,Tech stocks rally on strong earnings from major firms,MarketWatch
2015-06-25,2102.31005859375,Tech stocks rally on strong earnings from major firms,Wall Street Journal
2015-06-29,2057.639892578125,Renewable energy stocks surge on new climate legislation,CNBC
2015-06-30,2063.110107421875,Trade deficit widens as imports outpace exports,Bloomberg
2015-07-02,2076.780029296875,Trade deficit widens as imports outpace exports,Business Insider
2015-07-07,2081.340087890625,"Wage growth accelerates, fueling inflation concerns",Reuters
2015-07-08,2046.6800537109375,Tesla shares fall after disappointing delivery numbers,Financial Times
2015-07-17,2126.639892578125,"Wage growth accelerates, fueling inflation concerns",Business Insider
2015-07-20,2128.280029296875,S&P 500 drops 3% as inflation data disappoints investors,MarketWatch
2015-07-22,2114.14990234375,"Bitcoin falls below $20,000 as crypto winter deepens",Reuters
2015-07-29,2108.570068359375,Semiconductor shortage eases as chip production ramps up,Reuters
2015-08-04,2093.320068359375,"Bitcoin falls below $20,000 as crypto winter deepens",CNBC
2015-08-07,2077.570068359375,Merger talks between two major airlines collapse,Reuters
2015-08-11,2084.070068359375,Wall Street closes higher after positive jobs report,MarketWatch
2015-08-12,2086.050048828125,Pharmaceutical company announces breakthrough cancer treatment,Business Insider
2015-08-19,2079.610107421875,Tesla shares fall after disappointing delivery numbers,Business Insider
