date,headline,source,content,url,published_at
2022-01-03,2 of the best ETFs for diversification,<NA>,,,
2022-01-03,2021 was one of the best years ever for stocks. Here's what Wall Street says to expect for 2022,<NA>,,,
2022-01-03,5 predictions for the stock market in 2022: Morning Brief,<NA>,,,
2022-01-03,Byron Wien Sees Stocks Stalling in 2022 as Rates Rise,<NA>,,,
2022-01-03,Charted: S&P 500 recorded 70 closing highs in 2021,<NA>,,,
2022-01-03,"Dow, S&P hit records as trading 2022 kicks off",<NA>,,,
2022-01-03,How Much $10000 Invested In Tesla Stock 10 Years Ago Is Worth Now,<NA>,,,
2022-01-03,"S&P 500, Dow hit record highs on 1st trading day of 2022",<NA>,,,
2022-01-03,"S&P 500: 12 Stocks Turned $10,000 Into $413,597 In 12 Months",<NA>,,,
2022-01-03,The U.S. Stock Market in 2021: Best and Worst Performing Sectors,<NA>,,,
2022-01-03,Top 7 Dividend ETF Picks For 2022 - ETF Focus on TheStreet: ETF research and Trade Ideas,<NA>,,,
2022-01-03,Volatility Index - How To Trade The VXX & VIX,<NA>,,,
2022-01-03,What Does Equal Weight S&P500 Say About Top 5 Stocks? - The Big Picture,<NA>,,,
2022-01-04,2022 stock market predictions: 5 reasons stocks will go down,<NA>,,,
2022-01-04,22.70% vs 15.19%; My Performance vs S&P 500 for Close to 7 Years - PR Newswire APAC,<NA>,,,
2022-01-04,"Dow drops nearly 400 points in first loss of 2022, as traders brace for a more aggressive Fed",<NA>,,,
2022-01-04,"Dow, S&P 500 Nab Intraday Highs as Bond Yields Rise",<NA>,,,
2022-01-04,"How Every Asset Class, Currency, and S&P 500 Sector Performed in 2021",<NA>,,,
2022-01-04,Is This the Greatest Bull Market in History?,<NA>,,,
2022-01-04,"Nasdaq, S&P 500 fall with growth shares; banks boost Dow",<NA>,,,
2022-01-04,Solid Santa Claus Rally Is Signaling Strong Year for Stocks,<NA>,,,
2022-01-04,"Stock Market Today: Dow, S&P Live Updates for Jan. 5, 2022",<NA>,,,
2022-01-04,"Stock market news live updates: Stock futures unchanged after Dow, S&P 500 start year at all-time highs",<NA>,,,
2022-01-04,Tech stocks slide on S&P 500 while the Dow posts another record close,<NA>,,,
2022-01-04,The maximum amount of money you could have made trading in 2021,<NA>,,,
2022-01-04,The world's 500 richest people became $1 trillion richer last year,<NA>,,,
2022-01-04,There are times when it makes sense to sell stocks. Here are some of them,<NA>,,,
2022-01-04,US REIT stocks outperform broader market in 2021,<NA>,,,
2022-01-05,Barclays likes these 3 dividend stocks to beat the S&P 500 in 2022 — if you're looking for passive income in the new ...,<NA>,,,
2022-01-05,Energy Was The Top-Performing Sector In 2021,<NA>,,,
2022-01-05,"Gold will outperform the S&P 500 and bitcoin in 2022, Gareth Soloway predicts",<NA>,,,
2022-01-05,How Much Can We Trust Index Funds on Climate Change?,<NA>,,,
2022-01-05,Income Opportunities: Examining Price and Total Return in 2021,<NA>,,,
2022-01-05,LIVE MARKETS 2021 saw a lot less volatility in the S&P 500,<NA>,,,
2022-01-05,What Do Index Futures Contracts Represent?,<NA>,,,
2022-01-06,"Stock Market News for Jan 6, 2022",<NA>,,,
2022-01-06,"Stock market news live updates: January 6, 2022",<NA>,,,
2022-01-06,ViacomCBS Stock Slides Below Pre-Covid Level – What's Next?,<NA>,,,
2022-01-06,Video; The Best Performing S&P 500 Stocks in 2021,<NA>,,,
2022-01-06,What goes up must come down: The stock market cycle,<NA>,,,
2022-01-07,Charts: The Footprints of the Flow of Money,<NA>,,,
2022-01-07,How Markets Reacted To Anheuser-Busch InBev's Proposed Entry Into Biotech?,<NA>,,,
2022-01-07,More S&P 500 Companies Issuing Negative EPS Guidance for First Time Since Q2 2020,<NA>,,,
2022-01-07,Nancy Pelosi makes millions off tech stocks – and scoffs at push to ban congressional trades,<NA>,,,
2022-01-07,"Stock Market News for Jan 7, 2022",<NA>,,,
2022-01-07,The Winners and Losers on the U.S. Stock Market,<NA>,,,
2022-01-10,5 Reasons Why You Should Invest in S&P Global (SPGI) Stock,<NA>,,,
2022-01-10,Apple is still bigger than all these companies combined,<NA>,,,
2022-01-10,Autoshop owner sued after dumping 500 pounds of pennies on ex-employee's driveway,<NA>,,,
2022-01-10,Earnings are the most important driver of stock prices,<NA>,,,
2022-01-10,Energy Was the S&P 500's Best-Performing Sector in 2021. Can the Outperformance Continue?,<NA>,,,
2022-01-10,How much money 45-year-olds should invest each month to become a millionaire by age 65,<NA>,,,
2022-01-10,How to Beat the S&P 500 in 2022,<NA>,,,
2022-01-10,LIVE MARKETS S&P 500 Q4 EPS expected to grow 20%,<NA>,,,
2022-01-10,Three new Risk-Managed Income ETFs seek to offer income and downside protection,<NA>,,,
2022-01-11,2021: The year in review,<NA>,,,
2022-01-11,"Bitcoin and Stocks Are More Correlated, Posing Market Risks, Says IMF",<NA>,,,
2022-01-11,Bitcoin is trading in tandem with stocks? This chart shows that relationship as markets face a more hawkish Fed,<NA>,,,
2022-01-11,"Bitcoin’s Correlation With S&P 500, Nasdaq Hits Highest Level Since July 2020",<NA>,,,
2022-01-11,"Crypto Prices Move More in Sync With Stocks, Posing New Risks",<NA>,,,
2022-01-11,"Stock market news live updates: January 11, 2022",<NA>,,,
2022-01-11,Why Isn't the Stock Market Down More Right Now?,<NA>,,,
2022-01-12,Big Lots is opening 500 stores,<NA>,,,
2022-01-12,Insights from JP Morgan's «Guide to Financial Markets 2022»,<NA>,,,
2022-01-12,"Stock Market News for Jan 12, 2022",<NA>,,,
2022-01-12,"Stock Market Today: Dow, S&P Live Updates for Jan. 13, 2022",<NA>,,,
2022-01-12,"Target, McDonald’s among stocks with the best income compounders from the S&P 500 Dividend Aristocrats over 5 years",<NA>,,,
2022-01-12,This Dividend Yield Indicator Shows Why The S&P 500 Could Disappoint Investors In 2022,<NA>,,,
2022-01-12,Time for a Nancy Pelosi ETF?,<NA>,,,
2022-01-13,10 of the Oldest Companies in the S&P 500,<NA>,,,
2022-01-13,"Bitcoin Outperformed Crude Oil, S&P 500, NASDAQ, and Gold in 2021 (CoinGecko Report)",<NA>,,,
2022-01-13,Hedge funds still can't match the S&P 500,<NA>,,,
2022-01-13,Op-ed: These big names propelled the S&P 500 last year. Here’s what’s ahead for 2022,<NA>,,,
2022-01-13,"Profits for S&P 500 companies rose 22% in the fourth quarter and nearly 50% in 2021, estimates show",<NA>,,,
2022-01-13,Your Money: Stock dividends are a great way to beat inflation,<NA>,,,
2022-01-14,Bear Market Mania With Charlie Bilello,<NA>,,,
2022-01-14,BlackRock now manages more than $10 trillion in assets,<NA>,,,
2022-01-14,"Diversity continues to rise among CFOs and CEOs, survey shows",<NA>,,,
2022-01-14,How To Invest In The S&P 500 - A Step by Step Guide,<NA>,,,
2022-01-14,Is the Fed Responsible for an 800% Gain in the Stock Market?,<NA>,,,
2022-01-14,Netflix shares slide as streamer tees up Q4 earnings,<NA>,,,
2022-01-14,"Stock Sectors Are Risky Bets, Rising and Falling Frequently",<NA>,,,
2022-01-14,TikTok Stars Like the D'Amelio Sisters and Addison Rae Are Earning More Than Many S&P 500 CEOs,<NA>,,,
2022-01-18,Big Tech Needs Big Profits With Multiples Under Fire: Tech Watch,<NA>,,,
2022-01-18,Investors Race To Buy 13 'Cheap' S&P 500 Value Stocks,<NA>,,,
2022-01-18,LIVE MARKETS U.S. stocks body-slammed,<NA>,,,
2022-01-18,Motilal Oswal AMC halts lump sum investments in 3 international funds,<NA>,,,
2022-01-18,S&P 500 Likely to Report Earnings Growth of More Than 25% for the Fourth Straight Quarter,<NA>,,,
2022-01-18,"Stock market news live updates: January 18, 2022",<NA>,,,
2022-01-18,What happens to the stock market when interest rates rise?,<NA>,,,
2022-01-19,Cathie Wood's Famous Outperformance Versus the S&P 500 Is Fading,<NA>,,,
2022-01-19,Does the S&P 500 Need to Touch this Line? See the Technical History,<NA>,,,
2022-01-19,"Flush with cash, big companies are ready to buy up rivals and reward investors",<NA>,,,
2022-01-19,Here's What Happens To The Stock Market If Republicans Take Congress In November,<NA>,,,
2022-01-19,LIVE MARKETS Stifel's Bannister sees S&P 500 drop to 4200 possible in Q1,<NA>,,,
2022-01-19,"Short interest declines in US stocks, signaling a bear retreat",<NA>,,,
